Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
Ministry of Skill Development and Entrepreneurship (MSDE).,Entrepreneurship Facilitation Services Processing Centre:,Software,DB883,7,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,Analysis of Business of MSME Sector,Software,DB884,6,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,To start Skill India Helpline (Toll-Free) number,Software,DB885,6,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,Automatic sign and photo detection from the uplaoded documents by trainees during admissions using Artificial Intelligence and Optical Charater Recognition.,Software,DB886,44,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,"Farming equipment’s are expensive, leveraging unused equipment may add to additional income for the farmers.",Software,DB887,50,Miscellaneous
National Institute of Design Madhya Pradesh,"""Automated feedback system to know the exact location of non-functional streetlights in the rural areas of Central India""",Software,ST888,31,Miscellaneous
National Institute of Design Madhya Pradesh,Scarcity of water in hilly areas during summer months.,Hardware,ST889,55,Renewable / Sustainable Energy
National Institute of Design Madhya Pradesh,Insufficient medical support system and remote villages in hill areas,Software,ST890,50,Robotics and Drones
National Institute of Design Madhya Pradesh,App/portal for tracking/finding of missing persons/children by use of Aadhaar enabled Biometric details:,Software,ST891,26,Miscellaneous
National Institute of Design Madhya Pradesh,"""Application based solution for tracking and creating information system for Overloaded Commercial vehicles.""",Software,ST892,17,Smart Automation
National Assessment and Accreditation Council (NAAC).,Assessment of Higher Educational Institutes by NAAC,Software,SS893,5,Miscellaneous
Narcotics Control Bureau (NCB).,Development of an app/software for tracking dual use chemicals (chemicals that have legit uses and when diverted become precursors to major drugs)from their manufacture to end use. Need to have proper app and software to collate and maintain this data with proper data mining facilities. We should also have utilities in generating crucial report.,Software,PK894,4,Miscellaneous
Narcotics Control Bureau (NCB).,Development of an app/software for tracking prescription drugs (medicines having narcotic & psychotropic properties that are also covered under NDPS Act) to prevent its misuse. Such an app should track a prescription drug right from the manufacture at a factory until it is disbursed/sold to a legit patient by an authorized pharmacy/chemist/hospital.,Software,PK895,39,Miscellaneous
Narcotics Control Bureau (NCB).,Development of an app where general public can report information on drug trafficking anonymously.,Software,PK896,47,Miscellaneous
Narcotics Control Bureau (NCB).,Crawling of the Darknet markets to identify drug traffickers on dark net based in India and the drugs they offer for sale.,Software,PK897,10,Miscellaneous
Narcotics Control Bureau (NCB).,Digital foot printing of crypto currency transactions for drug trafficking over Darknetdone by persons based in India,Software,PK898,5,Miscellaneous
National Disaster Response Force (NDRF).,Administrative Difficulties faced by NDRF in Rescue missions in floods/GLOF(Glacial Lake Outburst Flood) situations,Hardware,GS899,30,Disaster Management
National Disaster Response Force (NDRF).,Extraction of Data including voice and images from various social Media platforms from Disaster struck areas,Software,GS900,24,Disaster Management
National Disaster Response Force (NDRF).,Identification and location of voids in earthquake scenario,Hardware,GS901,17,Disaster Management
National Disaster Response Force (NDRF).,Effective Under water search/ROV,Hardware,GS902,22,Disaster Management
National Disaster Response Force (NDRF).,Predictive warning for release of water from reservoirs causing flood situation,Software,GS903,13,Disaster Management
National Disaster Response Force (NDRF).,Smart wearables for rescuers/victims,Hardware,GS904,50,Disaster Management
National Disaster Response Force (NDRF).,Programming Simulations on various Disaster situations,Software,GS905,6,Disaster Management
National Disaster Response Force (NDRF).,Community connect with trained NCC/NSS volunteers for remote locations during disasters,Software,GS906,32,Disaster Management
National Disaster Response Force (NDRF).,Alerts/early warnings regarding the Heat Wave/Lightening strike to citizens/ Early Warning System for Lightening and Heat Wave,Software,GS907,6,Disaster Management
National Disaster Response Force (NDRF).,Borewell Rescue Operations,Hardware,GS908,60,Disaster Management
National Disaster Response Force (NDRF).,"High resolution 3D of terrain and infrastructure, Road travel conditions in Disaster struck areas",Software,GS909,4,Disaster Management
National Disaster Response Force (NDRF).,Using Innovative Blockchain Technologies in Emergency Management and Disaster Response,Software,GS910,17,Disaster Management
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Measurement of Coastal topography and marking the high and low tide lines using drones.,Hardware,GR912,21,Robotics and Drones
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Software solution for E-Mail Load Balancing,Software,GR913,6,Smart Automation
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Video Compression algorithm for GSM & Satellite telemetry,Software,GR914,3,Miscellaneous
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Pattern recognition algorithm to identify marine animals.,Software,GR915,37,Robotics and Drones
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Software to track any new IP assigned and joins the network other than the approved list of IP’s.,Software,GR916,10,Miscellaneous
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",To track list of software installed in the PC’s / Workstation’s attached to the network.,Software,GR917,13,Miscellaneous
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Software for system hardware inventory.,Software,GR918,9,Miscellaneous
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Print Management Software.,Software,GR919,6,Miscellaneous
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Management Software on software utilisation,Software,GR920,4,Miscellaneous
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Programming a microcontroller wirelessly.,Software,GR921,11,Miscellaneous
"National Institute of Ocean Technology (NIOT), Ministry of Earth Sciences (MoES).",Uploading and updating the database of pothole on road on Maps to help people driving their vehicle when the roads are flooded.,Software,GR922,29,Disaster Management
"Department of Social Justice & Empowerment, Ministry of Social Justice and Empowerment",Simplifying the verification process of granting scholarship,Software,RS923,12,Heritage & Culture
"Department of Social Justice & Empowerment, Ministry of Social Justice and Empowerment",Simplifying the selection process of financially weak students for granting aid for coaching for competitive exams.,Software,RS924,12,Smart Education
"Department of Social Justice & Empowerment, Ministry of Social Justice and Empowerment",Tracking the attendance of students for timely granting of aids from government.,Software,RS925,36,Smart Education
"Department of Social Justice & Empowerment, Ministry of Social Justice and Empowerment",Simplifying the process of identifying bright students for Ambedkar Social Innovation & Incubation Mission (ASIIM).,Software,RS926,5,Smart Education
"Department of Social Justice & Empowerment, Ministry of Social Justice and Empowerment",Simplifying the process of reaching youth for spreading awareness regarding Nasha Mukt Bharat Abhiyan (NMBA).,Software,RS927,11,Smart Education
"Department of Social Justice & Empowerment, Ministry of Social Justice and Empowerment",Simplifying the process of financing por SCs and OBCs through banks without transferring additional burden to government.,Software,RS928,4,Smart Education
University Grants Commission (UGC).,Development of fully automatic system to enable Online Expert Committee Visits for statutory bodies,Software,VS929,3,Miscellaneous
University Grants Commission (UGC).,Development of Online projects progress monitoring system for funded Higher Educational Institutions under various schemes and the funding agencies,Software,VS930,7,Miscellaneous
University Grants Commission (UGC).,Development of ‘Complaint/Grievance handling mechanism’ for connecting stakeholders and the Higher Educational Institutions so as to ensure single point window across all the relevant regulators,Software,VS931,11,Miscellaneous
University Grants Commission (UGC).,Development of One Nation – One funding information portal which disseminates various funding schemes with relevant details and interactive user interface across all funding agencies in higher education,Software,VS932,10,Miscellaneous
University Grants Commission (UGC).,Development of Integrated dashboard for sharing of innovation and startups with success stories across Higher Educational Institutions and relevant stakeholders,Software,VS933,28,Miscellaneous
University Grants Commission (UGC).,Development of Integrated dashboard for placement (students and companies),Software,VS934,49,Miscellaneous
University Grants Commission (UGC).,Development of portal for sharing of resources amongst Higher Educational Institutions on mutual agreement basis,Software,VS935,10,Miscellaneous
University Grants Commission (UGC).,"Development of portal which integrates in run time the information such as recognition(AICTE/UGC/NMC/Other regulators), accreditation (NAAC/NBA) and NIRF so as to ensure availability of authentic information anytime-anywhere for anyone",Software,VS936,7,Miscellaneous
University Grants Commission (UGC).,Development of system which integrates all types of notified Universities (Central/State/Private/Deemed to be University/Open) and identifies query based fake universities offering conventional /distance/Online Education,Software,VS937,7,Miscellaneous
University Grants Commission (UGC).,"Development of centralized student feed-back system, accessible to the HEI, concerned university and the regulatory body for effective monitoring of teaching-learning in the HEI and to have enhanced learning experience for the learners",Software,VS938,15,Miscellaneous
University Grants Commission (UGC).,Development of text based chatBot capable of handling queries related to UGC/HEI,Software,VS939,32,Miscellaneous
University Grants Commission (UGC).,Design of translation software with multi inputs to translate English to Hindi OR vice-versa to promote extensive use of Hindi language in official matters,Software,VS940,6,Miscellaneous
University Grants Commission (UGC).,Development of run time UGC Legal Court Cases tracking system duly integrated with various Courts of India for real time monitoring,Software,VS941,9,Miscellaneous
University Grants Commission (UGC).,Development of system to avoid duplicity of Research Projects submitted to various funding agencies,Software,VS942,6,Miscellaneous
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM943,125,Smart Automation
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM944,116,Fitness & Sports
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM945,68,Heritage & Culture
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM946,125,MedTech / BioTech / HealthTech
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM947,125,"Agriculture, FoodTech & Rural Development"
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM948,116,Smart Vehicles
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM949,86,Transportation & Logistics
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM950,64,Robotics and Drones
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM951,84,Clean & Green Technology
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM952,125,Travel & Tourism
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM953,54,Renewable / Sustainable Energy
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM954,125,Blockchain & Cybersecurity
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM955,125,Miscellaneous
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM956,125,Smart Automation
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM957,76,Fitness & Sports
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM958,35,Heritage & Culture
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM959,125,MedTech / BioTech / HealthTech
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM960,125,"Agriculture, FoodTech & Rural Development"
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM961,125,Smart Vehicles
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM962,115,Transportation & Logistics
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM963,125,Robotics and Drones
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM964,125,Clean & Green Technology
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM965,54,Travel & Tourism
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM966,125,Renewable / Sustainable Energy
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM967,39,Blockchain & Cybersecurity
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM968,125,Miscellaneous
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM970,107,Disaster Management
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM971,52,Disaster Management
"AICTE, MIC-Student Innovation",Student Innovation,Software,SM972,125,Smart Education
"Indian Knowledge System (IKS), All India Council for Technical Education (AICTE)",OCR of Temple inscriptions and translations in Devanagari Scripts.,Software,AD973,6,Heritage & Culture
"Indian Knowledge System (IKS), All India Council for Technical Education (AICTE)",Real time translations for regional languages,Software,AD974,8,Heritage & Culture
"Indian Knowledge System (IKS), All India Council for Technical Education (AICTE)","Search Engine for Vedas ,related text words.",Software,AD975,12,Heritage & Culture
"Indian Knowledge System (IKS), All India Council for Technical Education (AICTE)",Sanskrit voice to text and interface in Google Search Engine.,Software,AD976,7,Heritage & Culture
"Department of School Education & Literacy (DoSEL), Ministry of Education.","Education ecosystem for specially abled students need provisions and/or improvements to take care of compliance, governance and conduct .",Software,RK977,7,Smart Education
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Improving Education Delivery and learning outcome for specially abled children,Hardware,RK978,31,Smart Education
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Identify slow learners for remedial teaching and capacity building for innovative methods,Hardware,RK979,16,Smart Education
Madhya Pradesh Police.,Big Data Searching.,Software,AT980,22,Blockchain & Cybersecurity
Madhya Pradesh Police.,Drone Neutralisation Technique in city/crowded areas to neutralise drones without hampering other radio signals or other equipment in a certain range.,Software,AT981,14,Blockchain & Cybersecurity
Madhya Pradesh Police.,Vehicle number recognition by using existing general surveillance cameras,Software,AT982,72,Blockchain & Cybersecurity
Madhya Pradesh Police.,Predictive analytic solutions using AI,Software,AT983,9,Blockchain & Cybersecurity
Madhya Pradesh Police.,Creation of G.I.S. Layers through GPS Data of Dial 100 Vehicles.,Software,AT984,5,Blockchain & Cybersecurity
Madhya Pradesh Police.,Transfer of Multimedia data through Police Radio Sets.,Software,AT985,4,Blockchain & Cybersecurity
Madhya Pradesh Police.,"Detection of Criminal Activities/Criminal through CCTV by analysing live footage for melee, mob formation, body language of suspect etc",Software,AT986,50,Blockchain & Cybersecurity
Madhya Pradesh Police.,"Speech to text conversion for local ethnic languages of MP like Malavi, Bagheli etc.",Software,AT987,10,Blockchain & Cybersecurity
Madhya Pradesh Police.,"System would Identification of System Generated, Spoof Calls landing at Dial 100 Control Room",Software,AT988,12,Blockchain & Cybersecurity
Madhya Pradesh Police.,Speech Emotion Recognition (SER) on live calls while creating events.,Software,AT989,37,Blockchain & Cybersecurity
"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SM990,60,Smart Education
Autodesk India Pvt. Ltd.,Design a Drone using Autodesk Fusion 360 Software (Free for education & Students) for ANY ONE of the below services.,Software,AV991,63,Robotics and Drones
Ministry of Rural Development,Create an application for beneficiary to know the end-to-end transactions from generation of FundTransfer Orders to receipt of payment for the work done by the beneficiary,Software,SH994,9,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Create a Visualisation for Streamlining of Reporting Framework for Mahatma Gandhi NREGS reports,Software,SH995,5,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,"Automation of mechanism for imagecapturing,processing, standardization, evaluation, classification leadingto better decision making results for various programs using Deep learning, imageprocessing algorithms, AI algorithms",Software,SH996,12,Smart Automation
Ministry of Rural Development,Solution for impact assessment of Natural Resource Management (NRM)assets on the ground.,Software,SH997,5,Smart Automation
Ministry of Rural Development,Website and Application For convergence with MoLE initiatives,Software,SH998,7,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,"Develop a tool to detect, separate and match Individual from a group photo using Face Recognition mechanism.",Software,SH999,48,Smart Automation
Ministry of Rural Development,Develop a system for high compressionand decompressionof Photograph and documents without loss of Quality,Software,SH1000,12,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,"Create a System for drawing a complete polygon for any small asset (i.e. Assetsdeveloped during MGNREGA, PMAYG schemes) by knowing 3 coordinates alongwith the length andwidth.",Software,SH1001,5,Smart Automation
Ministry of Rural Development,Develop an ICT enabled mechanism to monitor quality of houses constructed under PradhanMantri Awaas Yojana– Gramin (PMAY-G) in most cost-effectiveway.,Software,SH1002,7,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Create a system to recognize and understand local dialect by Computer or other IT devices to deliver voice,Software,SH1003,9,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Develop a system toTransliterate Regional language text into English /Hindi and perform matching using fuzzylogic / machine learning algorithms,Software,SH1004,11,Smart Automation
Ministry of Rural Development,Develop a system which can read and analyse handwritten text and convert it into normal editable text.,Software,SH1005,37,Smart Automation
Ministry of Rural Development,Design a system generating the total no of people eligible for receiving pensions under NSAP (Indira GandhiNational Old AgePension Scheme) but are not included(area wise),Software,SH1006,9,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Mechanism to help rural people to self select for receiving benefit offered underGovt. scheme.,Software,SH1007,40,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,"Real time visualization of location wise financial transactions (volume and amount) for various schemes[such as PMAY(G), MGNREGS, PMGSY,NRLM, DDU-GKY]",Software,SH1008,8,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,"""Algorithm/Mechanism for analyzing and estimating % match level for similar data column/s values (e.g. Consolidation of multiple Govt. programs implies an individual be uniquely identified in all DBs. To uniquely identify, a location address is provided (e.g. a village name) and then other details such as name, DOB, Mother’s, Father’s name etc.""",Software,SH1009,6,Smart Automation
Ministry of Rural Development,"""Mechanism to effectively track and capture Attendance at work sites for MGNREGS workers using IRIS based attendance monitoring system""",Software,SH1010,26,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Design a system for multi hazard visualization as perlocation selected by Individual,Software,SH1011,6,Smart Automation
Ministry of Rural Development,Provide easy and realtime access of information on housing typologies for area selected by Individuals for House construction,Software,SH1012,6,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,"Mechanism for linking of works under convergence in Rurban with multiple DBs (e.g.:MGNREGS, PMUY, DDU-GKY, PMAY etc.)",Software,SH1013,3,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Maintaining and updating the records for SHG in realtime where network connectivity is low.,Software,SH1014,3,Miscellaneous
Ministry of Rural Development,Analysis for noise identification in largeand complex data collected from different sources and rectifying them.,Software,SH1015,3,Smart Automation
Ministry of Rural Development,Development ofDigital interface forSpatial Economicplan using shift-shareanalysis and Input -Output Theory at acluster level scale(comprising 5 - 6gram Panchayats),Software,SH1016,1,Smart Automation
Ministry of Rural Development,"An app which helps in automating the permission needed for development works like building permission, spatial lands etc according to the development norms.",Software,SH1017,7,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Analytics tool to provide detail reportson the grading difference between NQM and SQM,Software,SH1018,5,Transportation & Logistics
Ministry of Rural Development,Identification of reduction in carbonfootprint using newtechnologies,Software,SH1019,9,Clean & Green Technology
Ministry of Rural Development,Identification of missing LSBs whichcan be added in theroad network tominimize the traveltime,Software,SH1020,3,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Identification of Missing Bridges which would increase the connectivity between regions,Software,SH1021,7,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Identification of Flood Prone Roads,Software,SH1022,9,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,"System for an efficient and transparent process of buyer-seller interactions, provision for creating niche product offerings for SHG groups for all areas",Software,SH1023,22,"Agriculture, FoodTech & Rural Development"
Ministry of Rural Development,Real-time transaction to be introduced for SHGs and their Federations,Software,SH1024,4,"Agriculture, FoodTech & Rural Development"
Ministry of Tourism,Initiative that can contribute towards Net Zero Emission in tourism sector,Software,PK1025,10,Travel & Tourism
Ministry of Tourism,Develop proof of concept to measure carbon footprint of various tourism activities.,Software,PK1026,11,Travel & Tourism
Ministry of Tourism,Estimation of current CO2 emmisions in Tourism and ways to reduce them,Hardware,PK1027,42,Travel & Tourism
Ministry of Tourism,"Minimizing the effect of negative implications (natural calamities, plague, pandemic like COVID19 and other similar factors) on tourism industry.",Software,PK1028,15,Travel & Tourism
Ministry of Tourism,"Suggesting the minimum support requirements at tourist destination, community level to ensure suitability of setting up of homestay ecosystem.",Software,PK1029,20,Travel & Tourism
Ministry of Tourism,Promoting and regulating homestay ecosystems for maintaining general standard throughout the country.,Software,PK1030,26,Travel & Tourism
Ministry of Tourism,"Use of digitization to undertake capacity building and training for development, operations and maintenance of homestays.",Software,PK1031,8,Travel & Tourism
Ministry of Tourism,Need of deployment to collaborate content sourcing for ensuring consumer engagement.,Software,PK1032,10,Travel & Tourism
Ministry of Tourism,Comprehensive and consultative approach on destination’s branding and marketing for various stakeholders and industry requirements,Software,PK1033,15,Travel & Tourism
Ministry of Tourism,Digital interventions / innovative operating models for ensuring operations and maintenance of tourism infrastructure to required service levels.,Hardware,PK1034,8,Heritage & Culture
Ministry of Tourism,Innovative solutions to save time and effort required to assess the tourism infrastructure through digital process,Hardware,PK1035,9,Heritage & Culture
Ministry of Tourism,Ensuring tourism safety and security digital interventions.,Software,PK1036,16,Heritage & Culture
Ministry of Tourism,"Avoiding incidents related to tourist overcharging, duping and overall lack of information for tourist safety and security checked at various service provider.",Software,PK1037,27,Heritage & Culture
Ministry of Labour & Employment,Complaint Redressal Machinery,Software,DH1038,5,Smart Automation
Ministry of Labour & Employment,Guidance system for claims and needs of labour,Software,DH1039,9,Smart Automation
Ministry of Labour & Employment,Employment tracking and traceability system - Organized sector,Software,DH1040,8,Smart Automation
Ministry of Labour & Employment,Employment tracking and traceability system - Migrant workers,Software,DH1041,9,Smart Automation
Ministry of Labour & Employment,e-Buddy for rescued child labour,Software,DH1042,13,Smart Automation
Ministry of Labour & Employment,Knowledge sharing platform for V V Giris Naional Labour Institute,Software,DH1043,8,Smart Education
Government of Rajasthan,To create a eco-friendly way of packing several varieties of foods,Software,TK1044,17,Clean & Green Technology
Government of Rajasthan,To find all-new ways to store electric energy in bigger volume and less in size and weight.,Hardware,TK1045,53,Renewable / Sustainable Energy
Government of Rajasthan,"To create a better, social media integrated search engines",Software,TK1046,7,Smart Education
Government of Rajasthan,"To build robots for all kinds of dedicated tasks such as cleaning shoes, planting crops, cleaning windows, etc.",Hardware,TK1047,93,Robotics and Drones
Government of Rajasthan,"To innovate a Smart materials that change their behaviour based on environmental conditions i.e, taking the carbon out of carbon dioxide, and returning the dioxide back to air.",Hardware,TK1048,20,Smart Automation
Government of Rajasthan,To develop new ways of Waste water management system in rural areas,Hardware,TK1049,69,"Agriculture, FoodTech & Rural Development"
Government of Rajasthan,"To create systems that alleviate waiting in line - at doctors, at shops, at bus stops.",Software,TK1050,32,Miscellaneous
Government of Rajasthan,To find ways to replace prisons with socially effective methods of societal reintegration,Hardware,TK1051,10,Miscellaneous
Government of Rajasthan,To develop a sytem Electronically detecting occupancy of beds in Hospitals,Software,TK1052,77,MedTech / BioTech / HealthTech
Government of Uttarakhand,To develop a website for systematic farming for farmers in local languages.,Software,AU1053,67,MedTech / BioTech / HealthTech
Government of Uttarakhand,To develop software to identify famous local things at particular villages.,Software,AU1054,36,MedTech / BioTech / HealthTech
Government of Uttarakhand,To develop economic waste management system for each village/city.,Hardware,AU1055,48,MedTech / BioTech / HealthTech
Government of Uttarakhand,To construct ropeway map/structure in hilly areas for transportation,Hardware,AU1056,14,Transportation & Logistics
Government of Uttarakhand,Most economical water security plan for remotest villages of Uttarakhand,Hardware,AU1057,29,Renewable / Sustainable Energy
Government of Uttarakhand,To develop automatic irrigation system by use of waste water for small irrigation field.,Hardware,AU1058,62,MedTech / BioTech / HealthTech
Government of Uttarakhand,GIS based flood & landslide risk assessment in hilly areas of Uttarakhand.,Hardware,AU1059,12,Disaster Management
Government of Uttarakhand,To develop Waste water management system in villages.,Hardware,AU1060,53,"Agriculture, FoodTech & Rural Development"
Government of Uttarakhand,To develop Mobile software for guiding the tourist (Char Dham Yatra & other places) in Uttarakhand state.,Software,AU1061,125,Travel & Tourism
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Temperature sensitive / programmable stickers for medicines and other temperature sensitive products:,Software,DA1062,22,MedTech / BioTech / HealthTech
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Knee support for elderly for transferring body weight to shoe,Hardware,DA1063,36,MedTech / BioTech / HealthTech
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Non-invasive Glucometer,Hardware,DA1064,52,MedTech / BioTech / HealthTech
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Solar panel with solar tracking device without power consumption,Hardware,DA1065,109,Smart Automation
"Department of Science & Technology (DoST), Ministry of Science and Technology.",AI based interactive robot for elderly care,Hardware,DA1066,51,Robotics and Drones
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Video conference – Eye to eye contact – Mobile App,Hardware,DA1067,13,Miscellaneous
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Effective search mechanism for suggestive response to Parliament Questions,Software,DA1068,7,Miscellaneous
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Wheel Chair with attachment for B-Type oxygen cylinder for COPD patients,Hardware,DA1069,52,Transportation & Logistics
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Water harvesting:,Hardware,DA1070,64,Clean & Green Technology
"Department of Science & Technology (DoST), Ministry of Science and Technology.","Gaming Apps, etc. for the elderly",Software,DA1071,43,Fitness & Sports
"Department of Science & Technology (DoST), Ministry of Science and Technology.",Smart Networks for Renewable Integrated Sources for standalone Microgrids,Hardware,DA1072,39,Renewable / Sustainable Energy
Ministry of External Affairs (MEA),"Linking Smart cameras with alarm systems to avoid triggering a false alarm by birds or animals or vibrations due to wind, loud sounds, etc.",Software,LC1073,15,Smart Automation
Ministry of External Affairs (MEA),Use of technology in trade and logistics in reducing transportation and transaction costs.,Software,LC1074,12,Transportation & Logistics
Ministry of External Affairs (MEA),Use of technology in overcoming language barriers.,Software,LC1075,13,Smart Education
Ministry of External Affairs (MEA),Email Spoofing Detection – Spoofed email with swapped email id(and IP too) can come to any user’s inbox. Suggest a mechanism to filter the spoofed email at server only.,Software,LC1076,20,Blockchain & Cybersecurity
Ministry of Finance,Single Database on Orders of arbitrator & mediation,Software,RS1077,7,Miscellaneous
Ministry of Finance,Development of Information App for Alert on Financial Matters,Software,RS1078,7,Miscellaneous
Ministry of Finance,Upgradation of Jan-Dhan Darshak App,Software,RS1079,8,Miscellaneous
"Dairy Division, Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying",Online registration and processing of dairy farmers producing milk and other livestock products,Software,DV1080,35,"Agriculture, FoodTech & Rural Development"
"Dairy Division, Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying",An online platform to link potential dairy importers of the world with the major dairy product manufacturers of the Country.,Software,DV1081,20,"Agriculture, FoodTech & Rural Development"
"Dairy Division, Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying",A web portal to manage and strengthen dairy infrastructure of dairy processors of the Cooperative and private dairy sector.,Software,DV1082,13,"Agriculture, FoodTech & Rural Development"
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Create games/open source solutions to develop games which help in teaching/learning concepts,Software,AK1083,15,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).","AI and ML powered teacher, parents assistant app - for helping country achieve FLN goals",Software,AK1084,7,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",An Artificial Intelligence and Machine Learning based career guidance tool,Software,AK1085,33,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",NDEAR compliant School learning app,Software,AK1086,5,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Democratising Virtual Reality and other Immersive content Creation,Software,AK1087,5,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Lowest Cost Smart Board - A Seamless Teaching Experience,Software,AK1088,10,Smart Automation
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Application to improve Reading profeciency,Software,AK1089,11,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Multi User rapid dipstick phydigital Assessment/Surveys in low device environment,Software,AK1090,6,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Every Classroom a Digital Classroom,Software,AK1091,16,Smart Automation
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Multi User rapid dipstick phydigital Assessment/Surveys in low device environment,Software,AK1092,4,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",National School Water Monitoring System,Software,AK1093,8,Smart Automation
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Augmented Reality Search - Taking ETB's One Step Ahead,Software,AK1094,7,Smart Education
