Organization,Problem Statement Title,Problem Statement Description,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
All India Council for Technical Education (AICTE).,To develop a Mobile App for AICTE,"""Background: AICTE website consists of lot of information on approved institutions, different schemes of the Government, Rules and Regulations, etc., related to Engineering and Technology, Management, Pharmacy, Architecture, Arts and Crafts. By using latest Innovative Ideas, Mobile App may be developed for providing some of the important/frequently required useful information like, approved & unapproved institutions, etc., which are presently displayed under Statistics (Dashboard). Organization will look for attractive Mobile App developed with latest innovative ideas to display/provide information on some of the important activities of AICTE with user friendly concept. Summary: Mobile application development for the AICTE for providing the relevant information to the concerned stake holders will result in: 1. Easy access to information 2. User Friendly Mode Objective: : To develop a Mobile App for AICTE"" Data- www.aicte-india.org & Statistics > Dash board",Software,DR721,75,Smart Education
All India Council for Technical Education (AICTE).,Attractiveness and User Friendliness of AICTE Website,"""Background: AICTE website consists of lot of information on approved institutions, different schemes of the Government, Rules and Regulations, etc., related to Engineering and Technology, Management, Pharmacy, Architecture, Arts and Crafts. By using latest Innovative Ideas, Mobile App may be developed for providing some of the important/frequently required useful information like, approved & unapproved institutions, etc., which are presently displayed under Statistics (Dashboard). Organization will look for attractive Mobile App developed with latest innovative ideas to display/provide information on some of the important activities of AICTE with user friendly concept. . Summary: For the better user experience, An new version of the AICTE Website should be developed as per the latest trends following: 1. Latest Graphical User Interface 2. AI/ML concepts 3. Security Objective: : To develop a new website for AICTE""",Software,DR722,33,Smart Education
All India Council for Technical Education (AICTE).,Centralized grievance system portal,"""Background: Every year more than AICTE processes more than 6 crore of documents of various applications/requests made to AICTE. It also does tasks like approval of grants, fellowships, schemes, and lots of office work is required which is done manually. With the queue increasing day by day need to automate approval process, schemes, training, VC, Fellowship, office work of transferring the docs, meetings with appropriate futuristic technology in a single mobile application. Summary: Every year more than AICTE processes more than 6 crore of documents of various applications/requests made to AICTE. It also does tasks like approval of grants, fellowships, schemes, and lots of office work is required which is done manually. With the queue increasing day by day need to automate approval process, schemes, training, VC, Fellowship, office work of transferring the docs, meetings with appropriate futuristic technology in a single mobile application. Addressing this problem will give AICTE automation for tasks like transferring files from one department to another, approval of grants, fellowships, schemes, and lots of office work. This is reduce the time for completion of the process done internally and also it is enable smooth execution of the work. Objective: : At our technical helpdesk, we are facing a problem regarding remotely access the institution PC for assist institutes to resolve the technical issues. If possible, there should be a platform which should be available on AICTE portal or centralized grievance system portal like any desk or team viewer through which we can easily and securely access the Institute PC with the permission of institutes representatives.""",Software,DR723,17,Smart Education
All India Council for Technical Education (AICTE).,AICTE TASK Management Mobile Application,"""Background: Every year more than AICTE processes more than 6 crore of documents of various applications/requests made to AICTE. It also does tasks like approval of grants, fellowships, schemes, and lots of office work is required which is done manually. With the queue increasing day by day need to automate approval process, schemes, training, VC, Fellowship, office work of transferring the docs, meetings with appropriate futuristic technology in a single mobile application. Summary: Every year more than AICTE processes more than 6 crore of documents of various applications/requests made to AICTE. It also does tasks like approval of grants, fellowships, schemes, and lots of office work is required which is done manually. With the queue increasing day by day need to automate approval process, schemes, training, VC, Fellowship, office work of transferring the docs, meetings with appropriate futuristic technology in a single mobile application. Addressing this problem will give AICTE automation for tasks like transferring files from one department to another, approval of grants, fellowships, schemes, and lots of office work. This is reduce the time for completion of the process done internally and also it is enable smooth execution of the work. Objective: : There is a requirement of a single comprehensive mobile application which uses modern technology to for automating AICTE approval processes for schemes, training, VC, Fellowship and the office work automation and meetings to be integrated within app are some of the basic requirements. The list of things that can be automated is huge and with modern technology can be explored and innovated.""",Software,DR724,21,Smart Education
All India Council for Technical Education (AICTE).,Geotagging of all educational institutions integrated with virtual tour on Bharat Map so that any students/parents can visit any part of the country on map and take virtual tour along with facilities/courses available across the country.,"""Background: Every year there are lakhs of students who seek admission into various colleges around the country. Often students and their parents have to travel to multiple colleges physically to view the entire flora and fauna, view the infrastructure and gather information about various courses and facilities provided by college. Some people travel from one end of country to another which is time taking and is not easy to do instantly give the fact that students have very less time for completing the admission procedure. Summary: Every year there are lakhs of students who seek admission into various colleges around the country. Often students and their parents have to travel to multiple colleges physically to view the entire flora and fauna, view the infrastructure and gather information about various courses and facilities provided by college. Some people travel from one end of country to another which is time taking and is not easy to do instantly give the fact that students have very less time for completing the admission procedure. Hence with the modern technology rapidly growing, sitting at home we can take a virtual tour of some famous places of the world. Addressing this problem will enable the parents and students to get a full virtual tour of the colleges and get the information regarding courses and facilities provided instantly. This will save the time and expenses of travelling also and will enable in better decision making for the parents/guardians while choosing colleges, courses and hostel facilities. Objective: : Geotagging of all educational institutions integrated with virtual tour on Bharat Map so that any students/parents can visit any part of the country on map and take virtual tour along with facilities/courses available across the country is a much needed solution to help the students and their parents/guardians take the decision sitting at home. It will enable the parents and students to get a full virtual tour of the colleges and get the information regarding courses and facilities provided instantly. This will save the time and with the current COVID crisis, this solution will be a boon for many students as risk of getting affected while travelling will be cut short completely.""",Software,DR725,31,Smart Education
All India Council for Technical Education (AICTE).,One Point Student Verification through Mobile Application,"""Background: Every year more than 6 crores of Indians graduates from diverse backgrounds and with diversity in education. Almost similar number of students enter into colleges for taking various education to help them in seeking jobs. The task to track students on a one on one basis and also send job alerts to the graduates is also hectic due to the huge number. AICTE and MHRD aims to track students and colleges to help them in various processes like ease of student identification, ease of AICTE approved college tracking, ease in distribution of fellowships, grants, training. Since there is no one point identification of students the process itself takes time as it requires to have letters from college heads which is also time taking process. Hence to track the huge number manually is hectic and a time taking process due to which many students and graduates may miss out on important opportunities. Summary: Due to the huge number of graduates and freshers entering into college, the task to track all becomes hectic if done manually. Also since no single point of data collection is done the task to send job alerts, track college students, granting fellowships, grants, trainings and similar works also becomes time consuming. Addressing this problem will give AICTE and MHRD, the ability to easily identify students, graduates and colleges so that the time to do the task is cut short and deserving students may not loose out on the important fellowships, grants, training opportunities and similar things if there is one point of viewing the entire data. This will also help in students to view all opportunities from one single point, be it jobs, training or fellowships. Objective: : There is a requirement of a single mobile application which uses modern technology to store students biometric details and college details to help in effective tracking for job alerts, fellowships, schemes. The working model should provide integration between National Academic Depositary, Digital Locker & Instant Aadhaar (Aadhaar Portal). This App will provide the link between Aadhaar Number & Roll Number and the students should update the data of “Aadhaar Number” along with “Roll Number” on National Academic Depositary (It is like Linking roll. no. with Aadhaar No.). This will help in Verification of AICTE Approved Institutes, Verification of Students and Message service for students like job alert etc.""",Software,DR726,44,Smart Education
All India Council for Technical Education (AICTE).,One Point Student/Faculty Details Verification through Functional Application Software,"""Background: India as we know is a densely populated country and the need to automate the banking and collating processes is widely needed. With the introduction of UID, it became mandatory to have it for identification purposes. Then slowly it got integrated with almost all the sectors. AICTE data base has information about Faculties and students of AICTE Approved Institutions including Aadhaar, PAN and Bank Details. The Aadhaar & Aadhaar Seeded Bank Account Details are maintained by UID & NPCI (National Payment Corporation of India). However still there is no integration done to obtain common facility that exists to verify the Aadhaar, Aadhaar Seeded Bank Account Details from UID & NPCI and PAN of the faculty and students. This increase time to get the details when needed and often results in delayed time. Summary: Due to the huge number of faculties and students and different points of data for verifying their Aadhaar, Aadhaar Seeded Bank Account Details from UID & NPCI and PAN. Addressing this problem will give AICTE and MHRD, the ability to easily identify students, faculties as it will be a single point of verification of them. Integration should be done to obtain common facility that exists to verify the Aadhaar, Aadhaar Seeded Bank Account Details from UID & NPCI and PAN of the faculty and students. Objective: : There is a requirement of a single portal/app which uses modern technology to become a One Point Student/Faculty Details Verification through Functional Application Software. AICTE data base has information about Faculties and students of AICTE Approved Institutions including Aadhaar, PAN and Bank Details. Aadhaar & Aadhaar Seeded Bank Account Details are maintained by UID & NPCI (National Payment Corporation of India). Currently there is no common facility that exists to verify the Aadhaar, Aadhaar Seeded Bank Account Details from UID & NPCI and PAN. Availability of a functional software for automating the process of collating the information on Aadhaar, Aadhaar Seeded Bank Account Details and or PAN received from faculties/students for verifying these details from UID & NPCI is needed to reduce time spent when done manually. As such, the availability of functional application software will be extremely useful and ease of verification is the main point to be addressed and use of innovation is highly appreciated to fulfill the Objective: and involve modern technology. Sample Data Required: Yes""",Software,DR727,27,Smart Education
All India Council for Technical Education (AICTE).,Prediction of Admission & Jobs in Engineering & Technology /Management/Pharmacy with respect to demographic locations,"""Background: India as we know is a densely populated country and Every year more than 6 crores of Indians graduates from diverse backgrounds and with diversity in education. Almost similar number of students enter into colleges for taking various education to help them in seeking jobs. With the advent of time technology and the requirement of job sector has changed drastically as compared to 10 years back. Many sectors have experienced tremendous growth in employment and thus masses opt for those sectors whereas in many sectors there is huge unemployment either due to low jobs availability or demand of skilled workers is required. Thinking of the each and every branch and when comparing it with the current employment in India and abroad, we will definitely find some points that will help in predicting the admissions and jobs scenarios in the fields of engineering and technology, management and pharmacy. Summary: Due to the changing technology and its requirement for getting employed in India and abroad, there has to improvements suggested by experts for predicting the Prediction of Admission & Jobs in Engineering & Technology /Management/Pharmacy with respect to demographic locations. This is not a one time process and needs to be done frequently as trends in the industry keep changing. Addressing this problem will introduce the required changes that would bring the current youth and upcoming generations in parallel with the students of other countries in terms of knowledge and skills in that domain. However due to lack of information on employment potential for the proposed courses AICTE is giving approval and the students pass out from such Institutions/Branches of Engineering/Management/Pharmacy etc remain unemployed. At present, there is no mechanism available to find out how to estimate/forecast employment potential for any branch(s)/course(s) in Engineering/Management/Pharmacy etc on short term and long term basis by correlating data from various sources and formulating computer program/application. There is a need to forecast the current trend in the admissions and job sectors so as to blend the courses and syllabus accordingly to keep the youth employed and skilled with rapidly changing world. Objective: : AICTE grants approval for establishment of new technical institutions and starting of new courses in the field of Engineering and Technology, Management, Pharmacy, Architecture etc. At present the criteria for grant of approval for such courses is based mainly on infrastructure available as per the minimum norms prescribed by AICTE (Approval Process Handbook). However due to lack of information on employment potential for the proposed courses AICTE is giving approval and the students pass out from such Institutions/Branches of Engineering/Management/Pharmacy etc remain unemployed. At present, there is no mechanism available to find out how to estimate/forecast employment potential for any branch(s)/course(s) in Engineering/Management/Pharmacy etc on short term and long term basis by correlating data from various sources and formulating computer program/application using neural networks OR any other programming tools. Development of Application Software to estimate/forecast employment potential of Graduates/Post Graduates in different branches/courses on short term and long term basis by correlating data from various sources could be useful for granting approval along with infrastructure and other facilities. Modern era AI and computing systems can be employed to help in the process and any significant innovation in this field is highly appreciated which considers multiple factors and forecasts the admissions and jobs sector scenarios. There is a need to forecast the current trend in the admissions and job sectors so as to blend the courses and syllabus accordingly to keep the youth employed and skilled with rapidly changing world.""",Software,DR728,28,Smart Education
All India Council for Technical Education (AICTE).,Security Management System,"""Background: Security Management System and its requirement in todays time is widely understood from the fact that people throughout the country have started opting for CCTV cameras in their home, offices and business. Although only the CCTV systems are not enough as criminals take advantage of blackouts (zones which are not covered by cameras) and enter the premise. Also in many cases it was found that criminals disrupted the power supply to the CCTV cameras or destroyed the cameras thus leaving no trace of the crime they committed. Summary: Security Management System and its requirement in todays time is widely understood from the fact that people throughout the country have started opting for CCTV cameras in their home. Although only the CCTV systems are not enough as criminals take advantage of blackouts(zones which are not covered by cameras) and enter house. Addressing this problem statement by using modern technologies like motion sensors, image recognition systems and IoT and biometrics, we can make our offices and home more secure. Objective: : There is a need to develop a robust security system which is not dependent on CCTV or any one technology but consist of multiple technologies and alerts the residents far away even when there is no one in the house. When it comes to the security of your business, home, offices, IoT can help save the day. IoT sim cards can be applied to various devices that can be connected to sensors such as clothing with biometric sensors, facial recognition, footprint sensors, and more to increase the security of homes, offices, and buildings. Just imagine the applications—doors can be unlocked through facial recognition, lights can be activated with motion or footprint sensors, the camera is activated, and a live feed is triggered on your smartphone, or the police can automatically be notified if an intruder breaks a lock in your home. Use of AI, biometrics, motion sensors and many cutting edge technology will result in a more robust system.""",Software,DR729,51,Smart Education
All India Council for Technical Education (AICTE).,Standard Course Curriculum Design for all the Universities across India,"""Background: India as we know is a densely populated country and Every year more than 6 crores of Indians graduates from diverse backgrounds and with diversity in education. Almost similar number of students enter into colleges for taking various education to help them in seeking jobs. With the advent of time technology and the requirement of job sector has changed drastically as compared to 10 years back. However we still follow the same curriculum designed years back as per the need then. Lets take example of the learning basics of computers. With time industries have revolutionized and almost all require to have basic knowledge of computers for working or getting employed. Yet when we compare this with our curriculum we find that out of all existing subjects only 5-7% involve basic computer knowledge. Hence the need to modify the existing curriculum as the current demand is a must requirement. The above example for involving computers in all curriculum is a small example. Thinking of the each and every branch and when comparing it with the current employment in India and abroad, we will definitely find some points that require to be amended with the current syllabus. Summary: Due to the changing technology and its requirement for getting employed in India and abroad, our current curriculum needs some amendment. Be it the need of basic computer knowledge or using modern cutting edge tech to carry out surgeries or studying nano technology and use of modern cooling systems for making chips to become a superpower in semiconductors race, we need amendments in the current syllabus, without which we will still be lacking in the employment sector. This is not a one time process and needs to be done frequently as trends in the industry keep changing. Addressing this problem will introduce the required changes that would bring the current youth and upcoming generations in parallel with the students of other countries in terms of knowledge and skills. Mapping the structure, scheme and contents of the syllabus should be done keeping in mind the current and future requirements that the industry will ask from the individuals. The basics and fundamentals of a field will always remain the same and the most required aspect to be a pioneer, yet the amendments should be done frequently to keep the skills matching with the current and future job requiremnt. Objective: : AICTE approved courses in the field of Engineering and Technology, Management, Pharmacy, Architecture etc are affiliated to different Universities and are conducted as per the syllabus prescribed by these Universities. There are more than 100 such universities in the Country affiliating the same course(s). However, the structure of the course, content and scheme of the course differs widely from University to University, resulting in variation in the academic standards of the same degree approved by AICTE at the time of admission to higher studies and employment in India and abroad. Therefore there is a need to develop an application to map structure, content and scheme of the courses at present run by affiliated Universities and map important features and compare with a standard curriculum of highest standard. This would help AICTE to develop and enforce uniform academic standards all over the country for all its approved Courses. Modern era AI and computing systems can be employed to help in the process and any significant innovation in this field is highly appreciated. Development of Application software to map structure, content and scheme of the courses run by affiliating Universities (with mapping of important features) and compare with a standard curriculum could be useful to develop and enforce uniform academic standards all over the country for all its approved Courses. We aim for amendments in the curriculum which should be achieved by keeping the fundamentals as it is as it is the fundamental knowledge which helps to innovate and keep innovating.""",Software,DR730,18,Smart Education
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Mobile Application for Diet Recall,"""Background: A diet recall is a dietary assessment tool that consist of a structured interview in which participants are asked to recall all food and drink they have consumed in the previous 24/7 days etc. Summary: It relies on a trained interviewer to give proper dataset and interviewing questions to set in the mobile application, an accurate memory of intake, an ability to estimate portion size, and the interviews’ reliability to not misreport. Consultancy record of dietitian is mandatory to authenticate application questions and reliability Objective: Mobile Application to keep track of Quantity/Quality/type of food taken (with pictorial images) Built AI Based smart food analyzer Application that allows user to keep track of their food and also recommend best dietary chart based on their vat, pitta, and kapha state. And also (Carbo/fat/protein etc...) (Ayurveda – Rasa etc.) Mobile application should generate monthly /weekly report of the user. Application should have gamification feature which motivates the user to follow the diet chart (Like badges, points etc...)""",Software,DK731,77,MedTech / BioTech / HealthTech
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Portable decoction of (Kashaya) Making Machine,"""Background: Process of making Kashaya is a cumbersome process, hence there is usual non-compliance of patient to Kashaya. Summary: Kashaya refers to water detection or water extract of an herb or group of herbs. Dry herbs are taken as per the specific traditional Ayurveda Formula. Water is added 8 times of herbs and boiled over mild fire till it reduces to one fourth of its initial quantity. Problem Statement: Process of making Kashaya is a cumbersome process, hence there is usual non-compliance of patient to Kashaya. Objective: Automated portable Kashaya (Decoction) making device which can be carried at office / Work place with ease of portability.""",Hardware,DK732,66,MedTech / BioTech / HealthTech
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Virtual reality based solution for training medical students,"""Background: Simulation is effective in many domains and has been found to be ‘superior to traditional clinical education, producing powerful educational interventions that yield immediate and lasting results. To teach the complex subjects we need virtual reality based platform which allows the students to learn topics Objective: Virtual reality based solutions for teaching Ayurveda medical students on topics live Ayurveda surgical and para-surgical procedures. Virtual reality solution should include the practical demonstration with 3d pictorial and it should be multilingual to in nature so it becomes easy for the student to understand. It should be scalable solution. If in future if any professor wants to change the content than it should allow.""",Software,DK733,24,MedTech / BioTech / HealthTech
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Centralized thesis repository (MD/PHD) Repository,"""Summary: Every year approx. 5000 post graduate ayush students submit MD/PHD thesis to their respective universities. Problem statement – though thesis of some universities are being uploaded on shodhganga, the thesis are not detected in plagiarism software. Hence, there is no mechanism to detect plagiarism in thesis submitted in MD/PHD Thesis. Objective: Solution: A universal database for MD/PHD thesis submitted under Ayush system of medicine which supports plagiarism detection in thesis. With user side as well as admin side. It should automatically check the plagiarism from standard plagiarism checker plugin integrated in the system once the user or admin submit the thesis in the platform and generate the plagiarism report. It only allows submission if it pass the plagiarism(Less than 5%) test otherwise platform should deny the submission.""",Software,DK734,14,Smart Education
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",App for Ayush Services Availability,"""Background: There are approximately 4000 Ayush hospitals across India distributed under different council and hospitals of the government of India. Objective: Ayush hospitals finder application using google Map API which shows the location and nearby Ayush hospital with opening time and closing timing and by integrating various bio-medical data sources, containing information relevant to the hospital demographics, their inpatient procedure rates, Outpatient department etc.""",Software,DK735,64,MedTech / BioTech / HealthTech
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Smart Watch with vital record and lifestyle recommendation with mobile application,"""Background: Smartwatches have evolved from being fashion accessories to comprehensive health and fitness trackers which track daily activity, exercise, sleep and general health with a wide range of sensors. Objective: Smart watch which track blood pressure, abnormal heart rhythms, ECG. Which should be AI based and give alarm if there is anything wrong. With application with the above record tracking""",Hardware,DK736,50,MedTech / BioTech / HealthTech
Coal India Limited,Development of VR / AR (Virtual Reality / Augmented Reality) based application to train and up-skill the workforce involved in safely executing high risk tasks and problem solving key operational challenges in Coal mining industry.,"""Background: The mining industry is known worldwide for its highly risky and hazardous working environment. Technological advancement in extraction techniques for proliferation of production levels has caused further concern for safety in this industry. Research so far in the area of safety has revealed that the majority of incidents in this hazardous industry take place because of human error, the control of which would enhance safety levels in working sites to a considerable extent. India is the world's second-largest coal producer as of 2021. Coal production in the country stood at 715.95 million tons (MT) in FY21. Between April 2021 and October 2021, coal production in India stood at 379.597 million tons (MT). Coal is the main pillar of India’s energy sector. In 2021, it said, India consumed 93.2 crore tons of coal, 77% of which came from domestic production and 90% of which was used for power generation. The National Foundation of India study said that crores of Indians depend on the coal economy directly or indirectly. It highlighted that more than 1.3 crore Indians are employed in coal mining, transport, power, sponge iron, steel and bricks sectors. According to studies, skill-based errors are most critical and require immediate attention for mitigation. Training and upskilling the work force can help avoid errors which are based on mostly based on predictive fuzzy reasoning. Summary: VR technology has its unique advantages in several fields related to coal mining, such as miner safety training and emergency rescue drilling, besides drifting-producing process simulation, disaster scenario simulation, and mechanical operation training. Coal mining, regarded as a high-risk industry, has a strong demand for virtual reality (VR) to fulfill safety and emergency rescue training. A cloud-based VR system is to be designed for the training of coal miners. This system has to be a browser/client architecture which will include modules demonstrating the full procedure of an underground coal mine. The online cloud-rendered video streaming is to be adopted to provide enough computing and rendering power for a better browser-based user experience. Furthermore, game artificial intelligence (AI) can also be introduced into the system to increase the emotional exchange between the system and users. Objective: The objective is to provide an AR/VR solution that can simulate the real life situations and challenges of the coal mining industry and the workers can be trained and can be given the first-hand experience and possible solution to tackle such a scenario which will help avoid mishappenings and could save dozens of lives.""",Software,NC737,19,Miscellaneous
Coal India Limited,"Work clothing that has sensors embedded in it to securely transmit data to managers about hazardous conditions and the workers’ physical conditions, improving safety overall","""Background: The mining industry is known worldwide for its highly risky and hazardous working environment. Technological advancement in extraction techniques for proliferation of production levels has caused further concern for safety in this industry. Research so far in the area of safety has revealed that the majority of incidents in this hazardous industry take place because of human error, the control of which would enhance safety levels in working sites to a considerable extent. India is the world's second-largest coal producer as of 2021. Coal production in the country stood at 715.95 million tons (MT) in FY21. Between April 2021 and October 2021, coal production in India stood at 379.597 million tons (MT). Coal is the main pillar of India’s energy sector. In 2021, it said, India consumed 93.2 crore tons of coal, 77% of which came from domestic production and 90% of which was used for power generation. The National Foundation of India study said that crores of Indians depend on the coal economy directly or indirectly. It highlighted that more than 1.3 crore Indians are employed in coal mining, transport, power, sponge iron, steel and bricks sectors. Mining workers are affected by many hazards – from ventilation problems, mine flooding, gas explosions, ceiling collapsing, mine haulage, sudden inrushes and mine inundation, spontaneous combustion, to un-optimized evacuation routes. There is no exact solution that can forecast these risks and avoid them even before they occur. Summary: Mining workers are affected by many hazards – from ventilation problems, mine flooding, gas explosions, ceiling collapsing, mine haulage, sudden inrushes and mine inundation, spontaneous combustion, to un-optimized evacuation routes. And mine operators have been working for decades to ensure no fatal accident results in death, injury, or poor health of miners. Objective: To give a solution to design smart work clothing that has sensors embedded in it to securely transmit data to managers about hazardous conditions and the workers’ physical conditions, improving safety overall.""",Hardware,NC738,125,Smart Automation
Coal India Limited,Prototype of a Solar Powered IOT Device with the ability to connect to a smart network to be used in Geo Tagging of Physical Assets Created under CSR,"""Background: In 2014, India became the second country in the world (after Mauritius) to mandate spend on Corporate Social Responsibility (CSR) by introducing specific provisions through Section 135 of the Companies Act, 2013 (CA 2013). The new law required companies to spend in a given financial year, at-least two percent of their average net profits earned over the preceding three financial years subject to satisfying certain qualifying conditions. The Board of Directors were required to explain reasons for underspend, if any, in the company’s Annual Report. Over the years, these provisions underwent changes and more recently, with an objective to reinforce compliance, anti-abuse and strengthen governance, transparency and flexibility, the MCA has introduced significant changes through the Companies (Amendment) Act, 2020 and the Companies (Corporate Social Responsibility Policy) Amendment Rules, 2021 to amend the CA 2013 and its related rules. The amended rules became effective from 22 January 2021 and require close review as they directly impact implementation of a company’s CSR initiatives and also introduce new concepts like a specific negative list in the CSR definition, mandatory treatment of CSR underspend, mandatory impact assessment, mandatory registration by NGOs undertaking CSR activities, etc. These changes are likely to trigger impact across regulatory, accounting, finance and tax domains. Coal mining industry is not a clean industry and there is a need for balancing between the development opportunities provided by the industry and its environmental as well as social impacts. In response to the international call for sustainable development, integration of CSR measures in core operations of all business companies in India has been made mandatory and most of the companies claim compliance of the statute. The Indian coal mining industry has been making substantial expenditure and effort towards CSR initiatives since years in order to meet the legal requirements and international expectations. A study was required to analyze as to what extent CSR initiatives of the industry contribute to sustainable development, i.e. to what extent the use of natural resources and the environment is possible, given the current level of economic activity; what responsibilities the industry should bear in order to achieve sustainable development goals on its part and how far it has gone adopting CSR initiatives. Currently there is no mechanism to monitor the progress of a coal mining CSR project on a real time basis. Summary: Since the Corporate social investment can help businesses build a reputation as a responsible business, which in turn, lead to competitive advantage. Corporates sometime may take undue advantage of CSR projects to save taxes, attract investments, media attention, forge relations with local authorities to turn the bids in their favor etc. by announcing a big fund or categorizing a project under CSR. Amended CSR rules has cast enhanced obligation on the Board, CSR Committee and Chief Financial Officer of the Company for monitoring, evaluation and reporting of CSR activities of the Company. In light of the detailed requirements, a Company needs to assess and put in place, suitable mechanisms to collate the data required for disclosures. Also, an evaluation of the completeness of financial disclosures in the Annual Report is required CSR Rules mandatorily require impact assessment report to be placed before the Board and the reports to be annexed to the Annual Report on CSR. Companies should evaluate whether the full impact assessment report should be annexed to the report or an abridged version could be appended, with a reference to the Company’s website, if any, where the detailed report shall be hosted or provide details of a designated person who could be contacted for the full report, in case the Company does not maintain a website. Objective: To give a software and a hardware solution that can identify, track and monitor the progress of the project on a real time basis. The solution should also have the capability to store a databank of all the assets created and give the analytics from the same.""",Hardware,NC739,17,Transportation & Logistics
Coal India Limited,Moving vehicle registration plate detection,"""Background: Mining operations are generally spread over a vast area in remote locations and harsh environments. Coal extraction is a high cost and increasingly high technology venture that requires the utmost operational efficiency as well as uninterrupted workflow and delivery cycles. Operations cannot afford to be impacted due to lack of visibility as to the location and status of machinery, equipment and vehicles, since this causes delays, increased cost and mounting losses and is also an open invitation to theft and misuse. Real-time location tracking and monitoring, especially of moveable assets such as the vehicle fleet transporting the coal, is thus of critical importance to the mining industry. Tracking pickups and deliveries of thousands of truck-loads moving daily to and from various locations inside mining areas to processing plants, rail wagons or jetties is a logistics nightmare. Moving vehicle registration plate detection: RFID is fitted with vehicles moving across the mining region. The RFIDs are mapped to their respective registration number. It happens that two vehicles may exchange registration plates for malicious purpose including theft or forgery. A system is to be created to extract registration number from number plate of moving vehicle. The data captured should be transferred to cloud environment which can be available for further analysis of theft or proof reading. Summary: In general, most companies employ an active (battery-powered) radio frequency identification system to track trucks entering and leaving a mine with a load. This can be accomplished via a real-time location system (RTLS) if there are vehicles parked that need to be located quickly. But more commonly, an active RFID transponder is affixed to a vehicle, with readers set up at various points—at a mine’s entry gate, at a weigh station, at an exit and so forth. Software tracks the truck’s location, and you can usually run a variety of reports. The best solution really depends on the type of information that you would like to collect and use. Objective: To create an anti-theft auto security system that can extract registration number from number plate of moving vehicle. And can capture and transfer data to cloud, which can be available for further analysis of theft or proof reading.""",Software,NC740,114,Transportation & Logistics
Coal India Limited,A system of IoT devices to measure load weight in a dumper,"""Background: When the causes of fatal accident in coal mines are analyzed for the last 43 years since nationalization of coal mines, it is clearly observed that there are five major causes, such as Ground movement, Fall other than fall of ground, Transportation machinery (other than winding), machinery other than transportation machinery and explosives which contributes almost 91% of the total accident. That is why we divided the cause of the accident into five groups and rest of causes are in one group. Accidents due to ground movement contributed 41%, transportation of machinery (other than winding in shaft) contributing 31% along with Machinery Other than Transportation Machinery, Explosive and Fall (other than the fall of Ground) which contributed 6%, 4% and 9% respectively. When the last thirty-three years of fatal accident due to dumper and wheeled trackless transportation (truck, tractor, tanker) machinery data of Indian coal mining industry was further analyzed, an average number of accidents due to trackless transportation machinery (wheeled) came out to be quite high ranging from 47.2 to 28.3 per year. In Coal mining a dumper is loaded with Coal and then transported to specific location. Many such dumpers does not have load cells to measure the loaded quantity. Summary: In Coal mining a dumper is loaded with Coal and then transported to specific location. Many such dumpers do not have load cells to measure the loaded quantity. To make money, transporters prefer carrying more than the prescribed quantity of coal in their vehicles. Overloading exceeds the load rating of tires and braking system on a dump truck and extends the total stopping distance of the vehicle. In an emergency braking scenario, brakes get hot quickly and lose their effectiveness. Hence increasing the chances of accidents resulting in fatalities. Routine and regular overloading increases the wear and tear on structural, steering, chassis and suspension components which leads to a less than reliable hydraulic system. When drivers attempt to lift the dump bed, the hydraulic ram isn’t strong enough to lift the load. When the truck is parked on an angle, the additional weight of an overloaded dump bed causes the truck to tip to the side. Many a times overloading causes the truck to skid, resulting in a head-on crash or rollover incident. An overloaded truck is much harder to control during an off-the-road recovery. Objective: The object is to provide a solution to measure the load weight of the dumper using IoT technology. The solution should give dynamic measurements based of coal loaded into the dumper which will help stop overloading of the dumper and hence mitigate the risks of fatal accidents.""",Software,NC741,32,Transportation & Logistics
