Job_Role,Company,Location,Job Experience,Skills/Description
Lead/Sr Data Engineer (Hive/pyspark),Guardian India,"Gurgaon/Gurugram, Chennai",2-7,"Pyspark, Hive, Hadoop, SCALA, Unix Shell Scripting, PLSQL, Data Warehousing, YARN"
Senior Data Engineering Lead - ML or Azure,Optum,Hyderabad/Secunderabad,7-12,"designing and implementing, Azure ML, Azure Data Factory, Oops concept, Containers, Databricks, Kubernetes, Python"
SA - Content and Data Management,eClerx,Mumbai,0-2,"Content and Data Management, communication, written, excel, Data Management, Quality Check, Email communication"
SA - Content and Data Management,eClerx,Mumbai,0-2,"Content, Data Management, excel, communication, written, Quality Check, Content writing"
Junior Data Analyst,SiCureMi Healthcare Technologies,Delhi,0-2,"Monitoring, Remedy, Junior Data Analyst"
Junior Data Analyst - DQS,Checktronix India Pvt. Ltd.,"Dharmapuri, Chennai",0-1,"data cleansing, Root cause analysis, Data analysis, agile project management, data manipulation, MySQL, market data, JIRA"
Data Analyst / Data Source Engineer - SOQL/SOSL,Talent Placers,Bangalore/Bengaluru,2-7,"data cleansing, handling large data, Data Analytics, SOQL, Salesforce, Microsoft SQL, SQL, verbal communication"
Junior Data Analyst,Checktronix India Pvt. Ltd.,"Chennai, dharmapuri",0-2,"data cleansing, Data analysis, data manipulation, Data modeling, MySQL, market data, Research, big data"
Senior Data Engineering Lead - DevOps,Optum,Hyderabad/Secunderabad,12-22,"DevOps, Test Automation Framework, Jenkins, Java, Maven, Open Source, GitHub, Automation Testing"
Hiring For Data Engineer (SSE/Lead),Axtria India Private Limited,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",3-8,"IT Skills, Python, Software Development, Testing, Data Science, Cloud, Oracle, Pyspark"
Lead Data Engineer,Indegene Private Limited,Bangalore/Bengaluru,5-10,"Statistical programming, Claims, SAS, Data management, Analytical, Pharmacy, Healthcare, Epidemiology"
Lead Azure Data Engineer,NTT DATA,Bangalore/Bengaluru,4-8,"Data analysis, NoSQL, SQL database, RDBMS, Machine learning, Data processing, Scrum, Data quality"
Lead Data Engineer,Infogain,"Noida, Pune, Bangalore/Bengaluru, Mumbai (All Areas)",8-10,"snowflake, SSIS, ETL, SQL server, Data Cloud, Matillion, SQL, communication"
Lead Data Engineer /Principal Data Engineer,XpressBees,"Pune, Bangalore/Bengaluru",6-11,"Data Pipeline, Data Warehousing, Data Modeling, Query Optimization, hive, Data Engineering, Cloud Services, Problem Solving"
Data Engineering - Technical Lead,Paytm,"Noida, Bangalore/Bengaluru",6-8,"NoSQL, cassandra, Debugging, Product design, JIRA, Analytics, Financial services, SQL"
Lead Data Engineer,Gojek,Bangalore/Bengaluru,7-12,"Service level, GCP, Agile, Infrastructure, Data processing, MongoDB, test driven development, Gaming"
Lead Software Engineer - Data Engineering,Gojek,Bangalore/Bengaluru,5-11,"Solution architecture, NoSQL, Lead Software, TDD, Agile, Programming, HTTP, Ruby"
Lead Data Engineer,Persistent,Pune,5-8,"Redshift, Python, PySpark, AWS Glue, S3, Spark SQL, Azure, Spark"
Lead Data Engineer,Gojek,Bangalore/Bengaluru,5-11,"RDBMS, data security, Risk analytics, data governance, Data quality, Gaming, Financial services, Python"
Lead Azure Data Engineer,NTT DATA,Bangalore/Bengaluru,8-12,"Data analysis, NoSQL, data domain, SQL database, Debugging, SCALA, Toad, Server management"
Data Engineering Lead,EY,Bangalore/Bengaluru,8-10,"IT Skills, RPA, Devops"
Lead Software Engineer (Backend) - Data Platform,Gojek,Bangalore/Bengaluru,5-8,"Product management, Solution architecture, Backend, Prototype, Analytical, SMS, HTTP, Distribution system"
Associate Data Analyst,Otis,"Hyderabad/Secunderabad, Ahmedabad, Bangalore/Bengaluru",3-8,"ERP, Automation, SOA, SAS, Data modeling, Hyperion, Data structures, Troubleshooting"
"Lead Software Engineer - Java, micro services/Big Data, Data Platform",Visa,Bangalore/Bengaluru,13-17,"IT Skills, Java, Unix, Computer science, Lead Software, Coding, Analytical, big data"
ASSOCIATE - BUSINESS DATA ANALYST,Lennox India Technology Centre Private Limited,Chennai,2-5,Business Data Analyst
Associate - Business Data Analyst,Lennox International,Chennai,1-4,"Mining, Computer science, Google Analytics, Data management, Data modeling, Analytical, Data collection, Data quality"
Associate Data Analyst - SQL MSBI,Optum,Gurgaon/Gurugram,4-9,"SQL, SQL queries, cloud architecture, Alteryx, Data Analysis, database performance tuning, Data Analyst, Tableau"
Associate Manager Data Analyst,Optum,Noida,3-8,"Python, Power BI, Tableau, IT Skills, dashboarding, Data Analysis, Data Analyst, Business intelligence"
Senior Data Engineer - Remote,Tecknoworks Innovations India Pvt. Ltd.,"Kolkata, Pune, Bangalore/Bengaluru",7-12,"Azure Data Factory, DataBricks, Data Architecture, Spark, SQLPools, SparkPools, Airflow, Hive"
Senior Azure Data Engineer,Incture Technologies Pvt. Ltd.,"Bhubaneswar, Kolkata, Chandigarh, Pune, Bangalore/Bengaluru, Mumbai (All Areas)",3-6,"Azure Data Factory, Azure Data lake/Delta lake, Azure Devops, Python, Azure, Hive SQL, Devops, JSON"
Senior Data Engineer,Parallel Wireless,Bangalore/Bengaluru,4-7,"Pandas, data management, Hadoop, Cassandra, Prometheus, Jira, Jenkins, Hive"
Senior Data Engineer | Lululemon,TALENT500 TECH (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,7-12,Postgresql
Sr Data engineer,Smartdrive Systems India Pvt Ltd.,Bangalore/Bengaluru,5-8,"java, NoSQL, sql server, mongodb"
Senior Data Engineer,Ciena,Pune,5-10,"AWS, Ansible Automation, WAN, Chef, Configuration Management, Salt, Docker, Agile development"
"Sr Software Engineer II (Sr Architect), Data - Core Data Platform",Uber,Bengaluru,5-9,"Neural networks, Technical design, Analytical, Software Engineer II, SCALA, Continuous improvement, Distribution system, Forecasting"
Data Engineering Azure - Senior Associate2,PwC,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",5-9,"Maven, Linux, Architecture, XML, Agile, Application development, Troubleshooting, Cosmos"
Senior Data Engineer at Zebra Technologies,Blob Infotech Pvt Ltd,Bangalore/Bengaluru,4-8,"Python, Bigquery, google cloud, Data Bricks"
Senior Data Engineer,GSK India,Bangalore/Bengaluru,4-7,"Procurement, Solution architecture, GIT, Disaster recovery, Healthcare, Genetics, HR, PWD"
Data Engineer - Sr . Consultant level,Visa,Bangalore/Bengaluru,12-15,"Core Java, Data Pipeline, Data Structures, Hadoop, Big Data, Data Mining, Spark, Object Oriented Programming"
Senior Software Engineer - Architect - (Data),Uber,Bangalore/Bengaluru,4-8,"Computer science, Backend, NoSQL, Data modeling, cassandra, MySQL, Machine learning, Analytics"
Senior Principal Software Engineer Data,Optum,Bangalore/Bengaluru,4-9,"Java, Kafka, microservices, Hive, big data technologies, API, ETL, Restful services"
Data Engineer - Sr . Consultant level,Visa,Bangalore/Bengaluru,10-15,"PaaS, Bigdata, Computer science, Automation, GIT, Configuration management, Instrumentation, Scrum"
Senior Manager - EDM Data Engineering - Product,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,15-17,"Printing, Data migration, DTS, SAP, Manager Quality Assurance, System integration, Javascript, Data quality"
Sr Mgr - EDM Data Engineering - Customer MD,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,10-15,"Printing, Data migration, DTS, Manager Quality Assurance, Publishing, data domain, System integration, Data quality"
"Senior Advisor, Data Engineering",Dell Technologies,Bangalore/Bengaluru,8-13,"Data Engineering, B2C marketing strategy, database marketing, IT Skills, Python, Testing, Direct Marketing, Lead Generation"
Data Engineering Analyst,Telstra,Bangalore/Bengaluru,3-7,"NoSQL, Production support, Testing tools, devops, Flex, Agile, Security testing, Manager Technology"
Data Engineer - Sr . Consultant level,Visa,Bangalore/Bengaluru,10-15,"Computer science, continuous integration, Hibernate, Core Java, Automation, Software design, cyber security, Coding"
Data & Analytics Tech - Data Engineering - GCP - Senior Manager,PwC,Bangalore/Bengaluru,6-9,"GCP, Data analytics"
Senior Software Engineer - Data Platform DLC,Visa,Bangalore/Bengaluru,2-7,"IT Skills, Java, Python, Cloud, Oracle, Node.js, Javascript, Nosql"
Senior Engineering Manager - Big Data,Walmart,Bangalore/Bengaluru,8-13,"Spark, Presto, Big Data, Scala, Storm, Azure cloud, Big data development, Druid"
Associate Data Anlayst,White Clarke India,Bangalore/Bengaluru,0-1,"Microsoft Excel, Management, Service level, Excel, Time management, Finance, Manager Technology, Genetics"
Associate Data Anlayst,Integrated Digital Systems,Bangalore/Bengaluru,0-1,"Service level, Excel, Time management, Finance, Manager Technology, Genetics, Workflow, General Administrator"
Big Data Engineer/Developer/Sr. Developer,Impetus,"Noida, Indore",2-5,"IT Skills, Java, Python, Software Development, Cloud, Big Data, Performance tuning, Automation"
Senior Data Warehouse Engineer,Tide Software,Hyderabad/Secunderabad,0-5,"Performance tuning, Coding, Unit testing, Apache, Business intelligence, Troubleshooting, Data mining, SQL"
Senior Azure Data Engineer -Permanent,NTT DATA,Chennai,5-9,"Business process, IT services, Cloud computing, data services, Automation, Consulting, Cloud, MySQL"
Senior Data Engineer,Salesforce,Pune,5-9,"Computer science, Sales Engineer, SAN, Automation, Data modeling, Informatica, SQL, CRM"
Senior Data Engineer,Wells Fargo,Serilingampally,4-9,"Data Engineering, data processing, Data Engineer, cloud deployments, data transformation, ETL, Informatica Powercenter"
Senior Data Engineer,Wells Fargo,Serilingampally,8-13,"System Testing, Unix, webservices, Teradata, SQL, Opensource technologies, microservices, REST API"
Senior Data Engineer,Wells Fargo,Serilingampally,7-12,"Teradata, Informatica 9x, Fastload, Informatica development, Informatica 10x, FastExport, Teradata architecture, Mload"
Senior Data Engineer,Wells Fargo International Solutions Private Ltd,Serilingampally,8-13,"SQL, IT Skills, Python, Software Development, Testing, Cloud, Troubleshooting Skills, Software Services"
Senior Data Engineer,Wells Fargo International Solutions Private Ltd,Serilingampally,7-12,"Oracle, Unix, Data Transformation, NoSQL, Informatica Power Center, SQL Server, Data Warehousing, Data Modeling"
Sr. Engineer -MEP (Data Center),Larsen & Toubro (L&T),"Panvel, Kancheepuram",3-7,"IT Facilities, ELV systems, BMS, Data Center"
Senior Data Analyst - Data Warehousing/Business Intelligence,Future India Services,Bangalore/Bengaluru,4-8,"Business Intelligence, Data Warehousing, SQL, BI Reporting, ETL Tools, Alteryx, Data Visualization, Statistical Analyst"
Senior Data Analyst - Data Warehousing/ Business Intelligence,Future India Services,Bangalore/Bengaluru,4-8,"Business Intelligence, Data Analysis, Data Warehousing, Microstrategy, BI Reporting, R, Alteryx, Data Visualization"
BODS Data Migration Sr. Analyst / Lead,Orcapod Consulting Services Private Limited,Hyderabad/Secunderabad,6-11,"SAP C4C, ECC, CPI, debugging, SAP BTP, SOAP, UI Script, SAP Sales"
BODS Data Migration Sr. Analyst / Lead,Orcapod Consulting Services Private Limited,Hyderabad/Secunderabad,6-11,"SAP C4C, ECC, CPI"
Data Engineer,GlobalLogic India Private Limited,"Noida, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9,"hadoop, ETL, IT Skills, Java, Python, Cloud, Big Data, Data Warehousing"
"Data Engineer - Power BI , Tableau & SQL",Informatica,Bangalore/Bengaluru,3-5,"IT Skills, Java, Python, Cloud, Oracle, Big Data, Tableau, Microstrategy"
Data Engineer,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",1-4,"phython, Microsoft Azure, aws, IT Skills, Cloud, Project Management, Azure, BPO"
Data Engineer II,Flipkart,Bangalore/Bengaluru,3-5,"Data modeling, Agile, Business intelligence, SDLC, Python, Computer science, Performance tuning, Debugging"
Gcp Data Engineer,Wipro,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9,"python, PLSQL, ETL, Gcp Cloud, SQL, IT Skills, Machine Learning, Cloud"
Data Engineer - Gamma,Boston Consulting Group,"New Delhi, Gurgaon/Gurugram, Bangalore/Bengaluru",2-4,"Data Engineering, Pyspark, Hive, Hadoop Development, Big Data, SQL, Python"
Data Quality Engineer,Autodesk,Bangalore/Bengaluru,2-4,"Python, analytical, Jira, written, verbal communication, SQL queries, Agile, relational databases"
Data Engineer: Big Data,IBM,Bangalore/Bengaluru,7-12,"Cloud computing, Eclipse, SCALA, big data, Python, Interpersonal skills, GIT, Time management"
Lead Data Analyst,Bidgely Technologies Private Limited,"United States (USA), Bangalore/Bengaluru",5-10,"Data Science, Project Management, Computer Science, Data Analyst, Ab Testing, Machine Learning, Statistics, Analytics"
Data Engineer,QSC,Bangalore/Bengaluru,0-1,"Computer science, Data modeling, Analytical, Data quality, Stored procedures, application architecture, SSIS, Troubleshooting"
Lead Data Analyst,CASHFREE HOLIDAY PLANNERS,Bangalore/Bengaluru,6-9,"Analytical skills, Mediclaim, Analytical, design conceptualization, power bi, E-commerce, Continuous improvement, Counselling"
Lead Data Analyst,Harman Connected Services Corporation India Pvt.,Bangalore/Bengaluru,8-12,"Data analysis, Automation, Due diligence, Claims, Staffing, Data modeling, Scheduling, Oracle"
Lead Data Analyst,Harman Connected Services Corporation India Pvt.,Bangalore/Bengaluru,4-7,"Automation, Due diligence, Claims, Manager Quality Assurance, HP data protector, Staffing, Data quality, SSIS"
Lead Collections Data Analyst,ZeroFOX,Bangalore/Bengaluru,1-4,"Arabic, Cyber Security, Javascript, Big Data, English Language, Python, Threat"
Azure Data Lead Analyst,Anicalls,Bangalore/Bengaluru,5-10,"Azure Data Lake, Azure Data Factory, PySpark, Azure, Azure SQL DW / Synapse, Python, communication, verbal"
Lead Business Analyst - Data Science,TEKION,Bangalore/Bengaluru,2-6,"IT Skills, Python, Testing, Data Science, Project Management, Tableau, Power BI, Business Analyst"
Data Operations - Lead Analyst,Silicon Valley Bank,Bangalore/Bengaluru,5-7,"Data analysis, Data management, Analytical, Project planning, Data quality, Information management, Lead Analyst, Financial services"
Data Migration Engineer @Ahmedabad (Permanent WFH),HealthTech,"Ahmedabad(Ghatlodia), Surat, Vadodara",0-1,"sql queries, Good Communication In English, Communication, Written, My SQL, SQL Server, Verbal Communication, RDBMS"
Hiring For Lead Data Analyst,TLG,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-9,"Google Tag Management, JS, Google Analytics 360, Google, Tableau, Advanced Excel, analytics, BI intelligence"
Lead - IT Data Science Analyst,Momentive Performance Materials Inc.,Bangalore/Bengaluru,4-8,"Analyst, Automation, data science, Data modeling, MySQL, Architectural design, Continuous improvement, Project execution"
Lead Data Analyst,MediaMath,Bangalore/Bengaluru,8-13,"Predictive Modeling, Data Science, Digital Media, Data Analysis, Statistical Modeling, Data Analyst, Analytics, Python"
"Program Manager, Global Server Data, Enterprise Data Lead",Google,Bangalore/Bengaluru,6-10,"management, Informatica, SAP, IT Skills, Supply chain, System architecture, Data management, data governance"
Junior Data Engineer,Evive,Bangalore/Bengaluru,0-3,"Kafka, NoSQL, Kinesis, Python, pyspark, data structures, written communications, Big Data"
Junior Data Engineer,AUREUSTECH SYSTEMS PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",0-5,"hive, python, bigdata, pyspark, sql, spark, hadoop, sqoop"
Senior Data Analyst,Snaphunt,Hyderabad/Secunderabad,3-8,"Data Analysis, Data Research, Visual Analytics, Power Bi, Finance, Data Visualization, Advanced Excel, Tableau"
Senior Data Analyst,Seven Consultancy (HR Solution),Mumbai,5-10,"Procurement, data science, big data analytics, Analytical, Data collection, big data analyst, Data Analyst, Management"
Senior Data Analyst Req:340,Clairvoyant India Pvt. Ltd.,"Hyderabad/Secunderabad, Pune",7-12,"python, data modelling, SQL, IT Skills, Cloud, Big Data, Tableau, Power BI"
Senior Analyst - Data Science,Tiger Analytics India LLP,Chennai,1-6,"Python, verbal communication, written, R, IT Skills, Data Science, Machine Learning, Artificial Intelligence"
Senior Data Analyst,Sanmax Technologies (P) Limited,Jaipur,8-10,"development, rdbms, technical, scala, Perl, Informatica, SDLC, sql"
Senior Data Analyst,Poshmark,Chennai,2-5,"Data analysis, Interpersonal skills, Senior Data Analyst, Data collection, Hypothesis Testing, data visualization, Powerpoint, Analytics"
Senior Data Analyst,Poshmark,Pune,2-5,"Data analysis, Interpersonal skills, Senior Data Analyst, Data collection, Hypothesis Testing, data visualization, Powerpoint, Analytics"
Senior Data Analyst,Buchprufer,Calicut/Kozhikode,1-5,"Computer science, Data analysis, SAS, Data analytics, Data Analyst, microsoft, Data mining, Business intelligence"
Senior Data Analyst,Microsoft,Hyderabad/Secunderabad,3-6,"Process automation, Data analysis, Automation, Analytical, Machine learning, Sensors, Data mining, microsoft"
Advisory - Consulting AcOE - Data Engineering - Senior Associate 2,PwC,Kolkata,4-8,"Unix, Computer science, Assurance, Data management, Consulting, Business strategy, Informatica, Business intelligence"
Senior Data Analyst,AppDirect,Pune,4-6,"Graphics, Computer science, Data analysis, Data management, Consulting, Senior Data Analyst, Corporate, Profit growth"
Data Analyst / Sr . Data Analyst,Symmetrical Global Search Pvt Ltd,Noida,2-4,"Operations research, SAS, Data collection, Hypothesis Testing, HTML, SPSS, Data mining, Econometrics"
Sr Data Analyst / Power BI Developer,smartSense Consulting Solutions,Gandhinagar,2-4,"IT Skills, Quality Assurance, Digital Marketing, Power BI, Business Intelligence, Google Analytics, Data Analysis, Data Visualization"
Senior Data Analyst,AlphaSense,Pune,5-6,"Data analysis, Product engineering, Equity research, Data modeling, Market intelligence, Marketing operations, Business intelligence, Operations"
Senior Data Governance Analyst | Advance Auto Parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,4-6,Reltio
Sr. Data Analyst,Seven Consultancy,Mumbai,2-5,"Analytical skills, Data analysis, Data management, Business Analyst, Business analysis, Data collection, Data Analyst, Data analytics"
Senior Analyst - Data HM,Shell,Chennai,5-10,"Data Analysis, Data Analyst, Subject Matter Expert, Data queries"
DATA ANALYST - Manager/Sr. Manager,N tech IT solutions Pvt Ltd,Chennai,6-10,"Data analysis, performance analysis, Upselling, Cross Selling, Use Cases, Dashboards, Marketing"
Senior Data Analyst,Seven Consultancy (HR Solution),Hyderabad/Secunderabad,3-4,"Data analysis, SAS, Process improvement, XML, Javascript, Data collection, SPSS, Data mining"
Senior Data Analyst,RGA,Mumbai,2-4,"Data Validation, Data Quality, Automation, Finance, Data Management, Business Process, Data Analytics, Quality Assurance"
Senior Data Analyst,SiCureMi Healthcare Technologies,Delhi,4-7,"analytical, data modeling, Business administration, Economics, Data Analyst, Mathematics, Management, Information technology"
Sr . Data Analyst,Also Energy,Gurgaon/Gurugram,3-6,"Data analysis, Publishing, Data management, Renewable energy, Analytical, Senior Data Analyst, Data Analyst, Continuous improvement"
SENIOR DATA ANALYST,Saffron Consultancy Services(scs),"Udaipur, Bhilwara",5-10,"Help Desk, Customer Service, customer relationship, access controls, Telephony support, Asset Management, Vendor Management, Information"
"Sr. Analyst, Data Analysis - GCC",TransUnion,Pune,1-1,"IT Skills, Java, Python, Machine Learning, Cloud, Project Management, Big Data, Data analysis"
Senior Analyst - Insights and Data Solutions,Stones2Milestones Edu Services Private Limited,Remote,2-3,"sql, Python"
Senior Data Analyst With SAP Hana,Anicalls,Noida,5-10,"SAP, Business analysis, Workflow, business rules, Data Analyst, Informatica, sap hana, Oracle"
Senior Business Data Analyst,Anicalls,Chennai,5-10,"IT Skills, Python, Testing, Data Science, Cloud, AWS, Tableau, Ticketing"
Senior Data Research Analyst,AdviserLogic,Mumbai,2-5,"BPO, Outbound, Business analysis, Fixed income, Analytical, Hedge funds, Data Research Analyst, Data collection"
Sr . Data Analyst,DemandMatrix,Pune,5-8,"Linux, XML, Postgresql, HTML, JSON, Agile methodology, microsoft, Open source"
Sr. Data Analyst,Oportun Inc,Chennai,3-6,"Data management, data science, MIS, Analytical, Finance, Agile, data visualization, Analytics"
Sr . Data Analyst,Integrate,Chennai,4-8,"Usage, Google Analytics, Office equipment, Analytical, SAAS, power bi, microsoft, Analysis services"
Internal Audit - Senior Data Analyst,Logitech G,Chennai,3-5,"Manager Internal Audit, Data analysis, Analytical, Relationship building, Financial risk management, Oracle, Operations, Monitoring"
Senior Business Data Analyst,MG GLOBAL,Mumbai,2-5,"Business transformation, Data management, Management consulting, Actuarial, Data quality, Customer service, Operations, Information technology"
Senior Business Data Analyst,M&amp;G plc,Mumbai,1-4,"Business transformation, Data management, Management consulting, Actuarial, Data quality, Customer service, Operations, Information technology"
Senior Data Analyst,SYREN TECHNOLOGIES PRIVATE LIMITED,Hyderabad/Secunderabad,8-13,"data analysis, SSIS, sql database, data management, data mining, Data Warehousing"
Senior Data Analyst,"Saavn, LLC",Gurgaon,3-4,"analytics reporting, advanced analytics, Data analysis, Machine learning, Data Analyst, microsoft, Data mining, SQL Azure"
"Senior Analyst, Data Analytics",Wirewebs Digital Solutions,Ahmedabad,3-6,"R, Python, Redshift, Excel, SQL queries, Oracle, Datawarehousing, Data Modelling"
Senior Data Analyst,Xome,Chennai,2-4,"Performance tuning, Diversity and Inclusion, SSRS, power bi, Data Analyst, SSIS, Business intelligence, Information technology"
Data Analyst / Senior Data Analyst,STATXO,Gurgaon/Gurugram,3-8,"Alteryx, PowerBI, Azure, Tableau, written communication, PowerPoint, DAX, Advanced Excel Macros"
Sr Data Informatics Analyst,ServiceNow,Hyderabad/Secunderabad,8-13,"IT Skills, Python, AWS, Tableau, Power BI, SAP, Azure, Computer science"
Senior Data Analyst,Launch IT Consulting,Hyderabad/Secunderabad,4-9,"Excel, Power Bi, SSAS, Dax, SQL Server, IT Skills, DevOps, Azure"
Senior Data Analyst,Venator Holdings,Hyderabad/Secunderabad,6-13,"Data analysis, metadata, Cloud, Data structures, DNB, Data Analyst, Management, Data architecture"
"Senior Analyst, Marketing Data and Insights",doubledutch,Gurgaon/Gurugram,2-5,"IT Skills, Testing, Cloud, AWS, Tableau, Salesforce, B2B Marketing, Query Optimization"
"TTEC - Senior Analyst, Data Informatics",TTEC,Hyderabad,4-6,"Data analysis, French, Excel, Business Economics, SAS Programming, Customer experience, Oracle, Information technology"
Consultant / Senior Consultant - Data Analyst (SQL & Python),jobpoint india,Gurgaon,3-8,"Bfsi, Consulting, Banking, Programming, Data Analyst, Data analytics, SQL, Python"
Senior Analyst - Data Services,RF Managed Services India Pvt Ltd,Chennai,3-5,"ERP, Data conversion, Managed services, Data management, RF, Business process improvement, MIS, Process improvement"
Sr . Data Analyst - Business Insights,"Saavn, LLC",Mumbai,2-5,"Data Science, R, Data Analysis, Data Visualization, Advanced Excel, Data Analyst, Data Analytics, Statistics"
Senior Data Analyst,Xtrastaff,Kochi/Cochin,3-6,"Tableau, AWS Quicksight, PowerBI, Quicksight, IT Skills, AWS, Business Intelligence, Data Structures"
Sr. Data Analyst,Assimilate Solutions,"Noida, Gurgaon/Gurugram",5-10,"BPO, Excel, Coding, Technical writing, Analytical, Senior Data Analyst, Informatica, Data warehousing"
Senior Data Analyst Marketing,Gainsight,Hyderabad/Secunderabad,5-10,"IT Skills, Project Management, Tableau, Salesforce, BPO, project management, Business Intelligence, Google Analytics"
Sr . Business Data Analyst,Gigamon Inc.,Chennai,7-11,"IT Skills, Python, Testing, Data Science, Project Management, Tableau, Power BI, metadata"
Data Analyst - Data Visualization & Reporting,Global Employees,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",5-10,"DATA ANALYST, IT Skills, Testing, Tableau, BI Reporting, Business Intelligence, Work From Home, Power BI"
Data Analyst,UnitedLex,"Gurgaon/Gurugram, Bangalore/Bengaluru",3-5,"excel, python, sql"
Data Analyst - EdTech,TalentStack,Bangalore/Bengaluru,2-6,"Data Analysis, Team Management, Content Delivery, Student Engagement, Data Analytics, Analytics, Customer Engagement, SQL"
Officer - Category Demand Management ( Data Analyst),referral,Bangalore/Bengaluru,2-6,"SAS, XML, Javascript, Data Analyst, SPSS, Data mining, Business intelligence, Operations"
Data Analyst,"DAT Solutions, LLC",Bangalore/Bengaluru,2-3,"Supply chain management, Excel, Analytical, Data Analyst, Predictive modeling, Data analytics, SPSS, Freight"
Data Analyst - Python / SQL,Myntra,Bangalore/Bengaluru,1-4,"Middle management, Process orientation, Conceptualization, Data Analyst, Data analytics, data visualization, Stakeholder management, Monitoring"
Consultant - Data Analyst,Jobs Territory,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",0-2,"Analytical, QlikView, Business intelligence, Macros, Data warehousing, Analytics, SQL, Python"
Jr Data Analyst,Institutional Shareholder Services,Mumbai,0-2,"Root cause analysis, Corporate governance, Analytical, Data collection, ISS, MS Office, Financial services, Monitoring"
Data Analyst III - Omni Supply Chain and Stores,Walmart,Bangalore/Bengaluru,4-8,"IT Skills, Python, Testing, Big Data, Supply chain, Computer science, Product engineering, Data analysis"
Financial Data Analyst,Moody's,Bangalore/Bengaluru,1-3,"IFRS/US GAAP, Accounting Standards, Financial Statements, Capital Market, Excel, Finance, Financial Statement Analysis, Financial Markets"
"Analyst, Data and Analytics",Clarivate,Bangalore/Bengaluru,2-4,"Qualitative research, Data analysis, Usage, Construction, Data modeling, Senior Analyst, Pharma, Analytics"
Data Visualization Analyst,Ciena,Gurgaon/Gurugram,5-10,"Data Visualization, data warehouse, Exploratory Data Analysis, Data Engineering, Power BI, Alteryx, Tableau, Data Modeling"
Officer - Category Demand Management ( Data Analyst),Myntra,Bangalore/Bengaluru,1-4,"SAS, XML, Javascript, Data Analyst, SPSS, Data mining, Business intelligence, Operations"
Urgent hiring For DATA analyst operation WFH,Fine Homes and Interior,"Mohali, Chandigarh, Pune",0-5,"Data Entry, Data Entry Operation"
Business/Data Systems Analyst 3,PayPal,Chennai,6-9,"Unix, Linux, Coding, Analytical, Resource allocation, Wellness, Informatica, Data mining"
Data Analyst,Teplar Solutions,Coimbatore,0-4,"analytical, Microsoft Office, MS - Office, communication, Litigation, Workflow, Customer support, Business Development Executive"
Business Analyst ( Data ),MORE,Mumbai,5-7,"IT Skills, Project Management, BPO, project management, Data management, Financial reporting, MIS, Business analytics"
Data Analyst,Netomi,Gurgaon,0-1,"deep learning, Manager Quality Assurance, French, Business analysis, Artificial Intelligence, Manager Technology, Data quality, Spanish"
Financial Business Analyst / Data Analyst,Cotiviti,Pune,1-6,"Analytics, IT Skills, Tableau, Insight Generation, Exploratory Data Analysis, EDA, Data Analysis, Advanced Excel"
Financial Data Analysts,C-MOTS Infotech pvt ltd,Chennai,0-3,"Excel, VBA, Accounting, Analytical, Finance, Reconciliation, Data processing, Commerce"
Analyst - Data Analytics,Machintel,Pune,0-2,"Excel, Data Analysis, Data Analyst, Data Analytics"
Data Analyst,GROYYO PRIVATE LIMITED,Gurgaon/Gurugram,0-2,"Data Analysis, Dashboards, Presentation Skills, Data Analytics"
Salesforce Data Analyst,Sahasya Global Solutions,Hyderabad,0-5,"IT Skills, Salesforce, IT services, Data migration, development, technical, level, System programming"
Data Extraction Analyst - Data Mining,iAastha,Navi Mumbai,0-1,"Data Mining, Data Extraction, Python, crawling, CSS, JavaScript, HTML, IT Skills"
Business Data Analyst,Cyient,Hyderabad/Secunderabad,3-5,"IT Skills, Python, Quality Assurance, Tableau, Power BI, data cleansing, Market analysis, Semiconductor"
Data Analyst,Lendingkart Finance Limited,Ahmedabad,0-3,"Business Intelligence, Excel, Mis, Problem Solving, Database Management, Data Analysis, Data Visualization, Data Analyst"
Scientific Data Research Analyst,E-Merge tech Global Services Pvt Ltd,Chennai,0-3,"communication, Translation, Transcription, Data Research Analyst, Biochemistry, Research, Molecular biology"
Trainee Business Analyst Big Data Analysis,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai,0-1,"IT Skills, Software Development, Testing, Big Data, Copyright, Data analysis, Change management, Coding"
